Action,PropID,N1,N2,N3,N4
TRIA,17,649472,649473,667188,0
TRIA,17,649476,649477,667183,0
TRIA,17,649560,649561,666809,0
TRIA,17,650045,650046,666839,0
TRIA,17,650052,650053,667161,0
TRIA,17,650619,650762,666894,0
TRIA,17,650758,650759,666899,0
TRIA,17,651147,651148,666867,0
TRIA,17,651151,651152,666862,0
TRIA,17,651593,651594,667362,0
TRIA,17,651682,651683,667746,0
TRIA,17,652327,652328,667455,0
TRIA,17,652331,652332,667450,0
TRIA,17,652333,652334,667780,0
TRIA,17,652337,652338,667775,0
TRIA,17,652820,652821,667397,0
TRIA,17,652824,652825,667392,0
TRIA,17,652913,652914,667804,0
TRIA,17,653331,653332,667425,0
TRIA,17,653335,653336,667420,0
TRIA,17,653337,653338,667838,0
TRIA,17,653341,653342,667833,0
TRIA,17,653824,653825,667337,0
TRIA,17,653828,653829,667332,0
TRIA,17,653931,653932,667688,0
TRIA,17,654419,654420,667485,0
TRIA,17,654423,654424,667480,0
TRIA,17,654425,654426,667722,0
TRIA,17,654429,654430,667717,0
TRIA,17,654996,654997,667307,0
TRIA,17,655000,655001,667302,0
TRIA,17,655103,655104,667630,0
TRIA,17,655591,655592,667515,0
TRIA,17,655595,655596,667510,0
TRIA,17,655597,655598,667664,0
TRIA,17,655601,655602,667659,0
TRIA,17,656171,656172,667272,0
TRIA,17,656274,656275,667572,0
TRIA,17,657031,657032,667545,0
TRIA,17,657035,657036,667540,0
TRIA,17,657037,657038,667606,0
TRIA,17,657041,657042,667601,0
TRIA,17,657801,657802,658665,0
TRIA,17,657805,657806,658660,0
TRIA,17,658226,658227,658699,0
TRIA,17,658230,658231,658694,0
TRIA,17,658807,658808,667985,0
TRIA,17,658811,658812,667980,0
TRIA,17,659216,659217,668013,0
TRIA,17,659220,659221,668008,0
TRIA,17,659613,659614,667925,0
TRIA,17,659617,659618,667920,0
TRIA,17,659708,659709,667862,0
TRIA,17,660130,660131,667953,0
TRIA,17,660134,660135,667948,0
TRIA,17,660136,660137,667896,0
TRIA,17,660140,660141,667891,0
QUAD,4,12905,12906,153613,64742
QUAD,2,15111,15114,38219,40078
QUAD,7,15289,15290,685916,71523
QUAD,3,46103,46189,46121,46158
QUAD,14,46186,46187,532071,532231
QUAD,14,46759,46760,534017,534177
QUAD,3,46762,46763,46965,46910
QUAD,14,46806,534742,534582,46807
QUAD,3,46809,46810,47057,47002
QUAD,14,46853,535253,535093,46854
QUAD,3,46856,46857,47149,47094
QUAD,22,53791,594018,53813,93775
QUAD,22,53821,594443,53843,93847
QUAD,22,53851,93922,53873,594868
QUAD,22,54554,94059,54555,596118
QUAD,3,54723,61771,54742,54783
QUAD,3,55904,55977,55931,62022
QUAD,3,56088,56161,56115,62067
QUAD,14,61768,535713,535603,61769
QUAD,14,61974,61975,536148,536543
QUAD,14,62019,62020,536923,537372
QUAD,14,62064,62065,537645,538094
QUAD,22,93198,93200,93199,592315
QUAD,22,94288,597395,94289,94290
QUAD,7,140284,266100,142354,157966
QUAD,8,374619,380772,376596,375004
QUAD,17,417989,664072,664279,664277
