ElementID,Action,N1,N2,N3,N4
76065,TRIA,53656,93787,93788,0
76079,TRIA,93775,53431,53791,0
76118,TRIA,93789,93823,53656,0
76122,TRIA,93847,53478,53821,0
76140,TRIA,53701,93859,93860,0
76182,TRIA,93861,93898,53701,0
76190,TRIA,53746,93934,93935,0
76204,TRIA,93922,53525,53851,0
76243,TRIA,93936,93970,53746,0
76312,TRIA,54496,94059,54555,0
76493,TRIA,94290,55412,94288,0
76511,TRIA,55343,94302,55345,0
76553,TRIA,94289,55412,94346,0
77049,DELETE,0,0,0,0
77050,DELETE,0,0,0,0
77051,DELETE,0,0,0,0
77052,DELETE,0,0,0,0
77053,DELETE,0,0,0,0
77054,DELETE,0,0,0,0
77055,DELETE,0,0,0,0
77056,DELETE,0,0,0,0
77057,DELETE,0,0,0,0
77058,DELETE,0,0,0,0
77059,DELETE,0,0,0,0
77060,DELETE,0,0,0,0
77061,DELETE,0,0,0,0
77062,DELETE,0,0,0,0
77063,DELETE,0,0,0,0
77064,DELETE,0,0,0,0
79781,TRIA,46031,45653,91550,0
82603,TRIA,94931,45426,91692,0
83392,TRIA,94921,45308,91746,0
85580,TRIA,45540,45542,91638,0
85826,TRIA,103843,103844,103846,0
86897,DELETE,0,0,0,0
86898,DELETE,0,0,0,0
86899,DELETE,0,0,0,0
86900,DELETE,0,0,0,0
86901,DELETE,0,0,0,0
86902,DELETE,0,0,0,0
86903,DELETE,0,0,0,0
86904,DELETE,0,0,0,0
86905,DELETE,0,0,0,0
86906,DELETE,0,0,0,0
86907,DELETE,0,0,0,0
86908,DELETE,0,0,0,0
86909,DELETE,0,0,0,0
86910,DELETE,0,0,0,0
86911,DELETE,0,0,0,0
86912,DELETE,0,0,0,0
90774,TRIA,48882,48883,92111,0
91817,TRIA,48200,92174,48199,0
92749,REORDER,111374,91871,111455,91870
92873,TRIA,47563,92001,47562,0
93120,TRIA,111536,111537,111457,0
94210,TRIA,47679,91893,47678,0
94257,DELETE,0,0,0,0
94258,DELETE,0,0,0,0
94259,DELETE,0,0,0,0
94260,DELETE,0,0,0,0
94261,DELETE,0,0,0,0
94262,DELETE,0,0,0,0
94263,DELETE,0,0,0,0
94264,DELETE,0,0,0,0
94265,DELETE,0,0,0,0
94266,DELETE,0,0,0,0
94267,DELETE,0,0,0,0
94268,DELETE,0,0,0,0
94269,DELETE,0,0,0,0
94270,DELETE,0,0,0,0
94271,DELETE,0,0,0,0
94272,DELETE,0,0,0,0
94273,DELETE,0,0,0,0
94274,DELETE,0,0,0,0
94275,DELETE,0,0,0,0
94276,DELETE,0,0,0,0
94277,DELETE,0,0,0,0
94278,DELETE,0,0,0,0
94279,DELETE,0,0,0,0
94280,DELETE,0,0,0,0
94281,DELETE,0,0,0,0
94282,DELETE,0,0,0,0
94283,DELETE,0,0,0,0
94284,DELETE,0,0,0,0
94285,DELETE,0,0,0,0
94286,DELETE,0,0,0,0
94287,DELETE,0,0,0,0
94288,DELETE,0,0,0,0
94353,DELETE,0,0,0,0
94354,DELETE,0,0,0,0
94355,DELETE,0,0,0,0
94356,DELETE,0,0,0,0
94357,DELETE,0,0,0,0
94358,DELETE,0,0,0,0
94359,DELETE,0,0,0,0
94360,DELETE,0,0,0,0
94361,DELETE,0,0,0,0
94362,DELETE,0,0,0,0
94363,DELETE,0,0,0,0
94364,DELETE,0,0,0,0
94365,DELETE,0,0,0,0
94376,TRIA,60902,112946,60704,0
94408,TRIA,60705,112962,60706,0
94427,TRIA,60130,112985,60999,0
94447,TRIA,60157,113013,61187,0
94472,TRIA,60812,113037,61039,0
94485,TRIA,60811,113066,61305,0
94501,DELETE,0,0,0,0
94502,DELETE,0,0,0,0
94503,DELETE,0,0,0,0
94504,DELETE,0,0,0,0
94505,DELETE,0,0,0,0
94506,DELETE,0,0,0,0
94507,DELETE,0,0,0,0
94508,DELETE,0,0,0,0
94509,DELETE,0,0,0,0
94510,DELETE,0,0,0,0
94511,DELETE,0,0,0,0
94512,DELETE,0,0,0,0
94529,TRIA,55686,113105,55685,0
94542,TRIA,60212,113134,61517,0
94558,DELETE,0,0,0,0
94559,DELETE,0,0,0,0
94560,DELETE,0,0,0,0
94561,DELETE,0,0,0,0
94562,DELETE,0,0,0,0
94563,DELETE,0,0,0,0
94564,DELETE,0,0,0,0
94565,DELETE,0,0,0,0
94566,DELETE,0,0,0,0
94567,DELETE,0,0,0,0
94568,DELETE,0,0,0,0
94569,DELETE,0,0,0,0
94586,TRIA,61648,61646,113185,0
94607,TRIA,113196,54661,61809,0
94632,TRIA,62128,61850,113239,0
94653,TRIA,113249,55626,61851,0
94678,TRIA,62244,61890,113292,0
94699,TRIA,113302,60300,60299,0
94724,TRIA,62360,61930,113345,0
94745,TRIA,113355,60245,60244,0
94754,DELETE,0,0,0,0
94755,DELETE,0,0,0,0
94756,DELETE,0,0,0,0
94757,DELETE,0,0,0,0
94758,DELETE,0,0,0,0
94759,DELETE,0,0,0,0
94760,DELETE,0,0,0,0
94761,DELETE,0,0,0,0
94762,DELETE,0,0,0,0
94763,DELETE,0,0,0,0
94764,DELETE,0,0,0,0
94765,DELETE,0,0,0,0
94766,DELETE,0,0,0,0
94767,DELETE,0,0,0,0
94768,DELETE,0,0,0,0
94769,DELETE,0,0,0,0
94770,DELETE,0,0,0,0
94771,DELETE,0,0,0,0
94772,DELETE,0,0,0,0
94773,DELETE,0,0,0,0
94774,DELETE,0,0,0,0
94775,DELETE,0,0,0,0
94776,DELETE,0,0,0,0
94777,DELETE,0,0,0,0
95180,DELETE,0,0,0,0
95181,DELETE,0,0,0,0
95182,DELETE,0,0,0,0
95183,DELETE,0,0,0,0
95184,DELETE,0,0,0,0
95185,DELETE,0,0,0,0
95186,DELETE,0,0,0,0
95187,DELETE,0,0,0,0
95188,DELETE,0,0,0,0
